Name,Company,Calories,Fat,Sodium,Carbs,Fiber,Sugar,Protein
AppleJacks,K,117,1,143,27,0.5,15,1
Boo Berry,G,118,1,211,27,0.1,14,1
Cap'n Crunch,Q,192,3,359,41,1.5,21,1.7
Cinnamon Toast Crunch,G,225,6,544,43,2.3,18,3.6
Cocoa Blasts,Q,130,1,135,29,0.8,16,1
Cocoa Puffs,G,117,1,171,26,0.8,14,1
Cookie Crisp,G,117,1,178,26,0.5,13,1
Corn Flakes,K,101,0,202,24,0.8,3,2
Corn Pops,K,117,0,120,28,0.3,15,1
Crispix,K,113,0,229,26,0.1,3,2
Crunchy Bran,Q,160,2,412,41,8.5,11,1.7
Froot Loops,K,118,1,150,26,0.8,12,2
Frosted Mini-Wheats,K,175,1,5,41,5,10,5
Golden Grahams,G,199,2,479,44,1.7,20,3.6
Honey Nut Clusters,G,214,3,249,46,2.8,17,4
Honey Nut Heaven,Q,192,4,216,38,3.5,13,4
King Vitaman,Q,53,0,115,11,0.6,3,0.9
Kix,G,67,0,158,15,0.6,2,1.2
Life,Q,213,3,292,44,3.6,11,5.3
Lucky Charms,G,114,1,203,25,1.5,13,2
Multi-Grain Cheerios,G,108,1,201,24,2.8,6,2
Product 19,K,100,0,207,25,1,4,2
Raisin Bran,K,195,2,362,47,7.3,20,5
Reese's Puffs,G,228,5,297,41,0,21,3.6
Rice Chex,G,75,0,187,18,0.1,1,1.3
Rice Krispie Treats,K,213,2,336,47,0,16,1.7
Smart Start,K,182,1,275,43,2.8,14,4
Special K,K,117,0,224,22,0.8,4,7
Total,G,172,1,341,41,4.9,9,5.3
Wheaties,G,107,1,218,24,3,4,3
