 Price ,Bedrooms,Bathrooms,FSF,Age,Year_Built,Style
114900,2,1,947,58,1939,1.5 Story
143114,2,2,1152,56,1941,1.5 Story
103000,2,1,1164,42,1955,1.5 Story
105000,3,1,1225,48,1949,1.5 Story
120000,3,2,1292,58,1939,1.5 Story
107500,3,1,1318,49,1948,1.5 Story
112500,3,3,1406,43,1954,1.5 Story
215000,4,3,1500,63,1934,1.5 Story
100000,2,2,1500,56,1941,1.5 Story
132900,3,2,1502,58,1939,1.5 Story
143000,3,2,1518,56,1941,1.5 Story
120000,2,1,1546,43,1954,1.5 Story
114000,3,2,1564,57,1940,1.5 Story
114000,3,2,1565,48,1949,1.5 Story
135000,3,2,1576,57,1940,1.5 Story
166500,3,1,1584,56,1941,1.5 Story
144900,3,2,1599,57,1940,1.5 Story
200000,4,1,1632,52,1945,1.5 Story
118900,3,2,1650,47,1950,1.5 Story
108000,3,3,1650,51,1946,1.5 Story
125000,3,1,1660,59,1938,1.5 Story
155000,3,2,1665,49,1948,1.5 Story
149700,3,1,1689,61,1936,1.5 Story
126000,3,2,1700,49,1948,1.5 Story
117000,3,2,1789,49,1948,1.5 Story
132000,3,3,1792,59,1938,1.5 Story
144900,3,2,1801,56,1941,1.5 Story
118700,4,2,1801,47,1950,1.5 Story
135000,3,2,1850,50,1947,1.5 Story
160000,3,2,1864,57,1940,1.5 Story
142500,3,2,1888,56,1941,1.5 Story
123500,4,2,1915,41,1956,1.5 Story
121000,4,2,1940,48,1949,1.5 Story
139900,4,2,1984,49,1948,1.5 Story
112500,3,3,1995,46,1951,1.5 Story
138500,4,2,2010,56,1941,1.5 Story
150777,4,2,2024,56,1941,1.5 Story
110000,5,3,2077,42,1955,1.5 Story
149000,3,1,2108,56,1941,1.5 Story
124900,4,2,2146,58,1939,1.5 Story
107000,5,3,2343,44,1953,1.5 Story
168000,3,2,2350,56,1941,1.5 Story
132000,3,3,2382,49,1948,1.5 Story
140000,3,2,2677,56,1941,1.5 Story
122900,3,2,1594,43,1954,3 Lvl Split
102900,3,2,1700,6,1991,3 Lvl Split
114000,5,3,2350,20,1977,3 Lvl Split
215000,3,1,1104,1,1996,4 Lvl Split
188400,3,2,1394,0,1997,4 Lvl Split
121000,3,2,1533,35,1962,4 Lvl Split
115000,3,3,1665,29,1968,4 Lvl Split
135000,3,2,1984,38,1959,4 Lvl Split
137500,4,3,2065,41,1956,4 Lvl Split
168335,4,3,2231,36,1961,4 Lvl Split
155000,4,3,2250,33,1964,4 Lvl Split
150000,4,2,2300,31,1966,4 Lvl Split
182100,3,2,2352,22,1975,4 Lvl Split
174900,4,3,2520,11,1986,4 Lvl Split
194900,4,3,2551,28,1969,4 Lvl Split
127900,3,2,2000,22,1975,Other
250000,3,3,3000,47,1950,Other
111050,2,1,924,45,1952,Rambler
