Date,Day,DeathsAdded,TotalDeaths
21-Mar,1,1,1
22-Mar,2,0,1
23-Mar,3,0,1
24-Mar,4,0,1
25-Mar,5,0,1
26-Mar,6,1,2
27-Mar,7,2,4
28-Mar,8,1,5
29-Mar,9,4,9
30-Mar,10,1,10
31-Mar,11,2,12
1-Apr,12,5,17
2-Apr,13,1,18
3-Apr,14,4,22
4-Apr,15,2,24
5-Apr,16,5,29
6-Apr,17,1,30
7-Apr,18,4,34
8-Apr,19,5,39
9-Apr,20,11,50
10-Apr,21,7,57
11-Apr,22,7,64
12-Apr,23,6,70
13-Apr,24,0,70
14-Apr,25,9,79
15-Apr,26,8,87
16-Apr,27,7,94
17-Apr,28,17,111
18-Apr,29,10,121
19-Apr,30,13,134
20-Apr,31,9,143
21-Apr,32,17,160
22-Apr,33,19,179
23-Apr,34,21,200
24-Apr,35,21,221
25-Apr,36,23,244
26-Apr,37,28,272
27-Apr,38,14,286
28-Apr,39,15,301
29-Apr,40,18,319
30-Apr,41,24,343
1-May,42,28,371
2-May,43,24,395
3-May,44,24,419
4-May,45,9,428
5-May,46,27,455
6-May,47,30,485
7-May,48,23,508
8-May,49,26,534
9-May,50,24,558
