Entity,Code,Date,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations","Daily new estimated infections of COVID-19 (ICL, mean)",LE,UE
Afghanistan,AFG,1/2/2020,0,,,,
Afghanistan,AFG,1/3/2020,0,,,,
Afghanistan,AFG,1/4/2020,0,,,,
Afghanistan,AFG,1/5/2020,0,,,,
Afghanistan,AFG,1/6/2020,0,,,,
Afghanistan,AFG,1/7/2020,0,,,,
Afghanistan,AFG,1/8/2020,0,,,,
Afghanistan,AFG,1/9/2020,0,,,,
Afghanistan,AFG,1/10/2020,0,,,,
Afghanistan,AFG,1/11/2020,0,,,,
Afghanistan,AFG,1/12/2020,0,,,,
Afghanistan,AFG,1/13/2020,0,,,,
Afghanistan,AFG,1/14/2020,0,,,,
Afghanistan,AFG,1/15/2020,0,,,,
Afghanistan,AFG,1/16/2020,0,,,,
Afghanistan,AFG,1/17/2020,0,,,,
Afghanistan,AFG,1/18/2020,0,,,,
Afghanistan,AFG,1/19/2020,0,,,,
Afghanistan,AFG,1/20/2020,0,,,,
Afghanistan,AFG,1/21/2020,0,,,,
Afghanistan,AFG,1/22/2020,0,,,,
Afghanistan,AFG,1/23/2020,0,,,,
Afghanistan,AFG,1/24/2020,0,,,,
Afghanistan,AFG,1/25/2020,0,,,,
Afghanistan,AFG,1/26/2020,0,,,,
Afghanistan,AFG,1/27/2020,0,,,,
Afghanistan,AFG,1/28/2020,0,,,,
Afghanistan,AFG,1/29/2020,0,,,,
Afghanistan,AFG,1/30/2020,0,,,,
Afghanistan,AFG,1/31/2020,0,,,,
Afghanistan,AFG,2/1/2020,0,,,,
Afghanistan,AFG,2/2/2020,0,,,,
Afghanistan,AFG,2/3/2020,0,,,,
Afghanistan,AFG,2/4/2020,0,,,,
Afghanistan,AFG,2/5/2020,0,,,,
Afghanistan,AFG,2/6/2020,0,,,,
Afghanistan,AFG,2/7/2020,0,,,,
Afghanistan,AFG,2/8/2020,0,,,,
Afghanistan,AFG,2/9/2020,0,,,,
Afghanistan,AFG,2/10/2020,0,,,,
Afghanistan,AFG,2/11/2020,0,,,,
Afghanistan,AFG,2/12/2020,0,,0,0,0
Afghanistan,AFG,2/13/2020,0,,0,0,0
Afghanistan,AFG,2/14/2020,0,,0.17,0,1
Afghanistan,AFG,2/15/2020,0,,0.39,0,2
Afghanistan,AFG,2/16/2020,0,,0.87,0,3
Afghanistan,AFG,2/17/2020,0,,1.08,0,4
Afghanistan,AFG,2/18/2020,0,,1.07,0,3
Afghanistan,AFG,2/19/2020,0,,1.18,0,3
Afghanistan,AFG,2/20/2020,0,,1.72,0,4.52
Afghanistan,AFG,2/21/2020,0,,1.87,0,5
Afghanistan,AFG,2/22/2020,0,,2.1,0,6
Afghanistan,AFG,2/23/2020,0,,3.1,0,7.52
Afghanistan,AFG,2/24/2020,0,,3.08,0,8
Afghanistan,AFG,2/25/2020,0.14286,,4.35,0,9
Afghanistan,AFG,2/26/2020,0.14286,,4.69,0,12
Afghanistan,AFG,2/27/2020,0.14286,,6.21,1,13
Afghanistan,AFG,2/28/2020,0.14286,,7.01,0.48,18.57
Afghanistan,AFG,2/29/2020,0.14286,,8.41,1,22
Afghanistan,AFG,3/1/2020,0.14286,,9.51,2,25
Afghanistan,AFG,3/2/2020,0.14286,,11.79,1,30.05
Afghanistan,AFG,3/3/2020,0,,14.71,2.95,36.05
Afghanistan,AFG,3/4/2020,0,,16.87,1.95,41.1
Afghanistan,AFG,3/5/2020,0,,19.46,3,50.52
Afghanistan,AFG,3/6/2020,0,,23.75,3,60
Afghanistan,AFG,3/7/2020,,,28.01,2.48,64.05
Afghanistan,AFG,3/8/2020,,,32.65,3.43,78.3
Afghanistan,AFG,3/9/2020,,,40,6.95,100.67
Afghanistan,AFG,3/10/2020,,,46.15,6,98.15
Afghanistan,AFG,3/11/2020,,,54.19,7.47,135.77
Afghanistan,AFG,3/12/2020,,,63.91,10.43,154.15
